Severity,Category,Is Mandatory,Requirement,Page Source,My Notes
Critical,Legal,Yes,"A participant is responsible for ensuring that its principals are not suspended, debarred, or otherwise ineligible to participate in covered transactions.",31,
Critical,Legal,Yes,"The prospective lower tier participant certifies, by submission of this proposal, that neither it nor its principals: (1) is presently debarred, suspended, proposed for debarment, declared ineligible, or voluntarily excluded from participating in covered transactions by any Federal department or agency, 2 CFR 180.355;",32,
Critical,Legal,Yes,is a corporation that has been convicted of a felony violation under any Federal law within the two-year period preceding this proposal (USDOT Order 4200.6 implementing appropriations act requirements); and,32,
Critical,Legal,Yes,"is a corporation with any unpaid Federal tax liability that has been assessed, for which all judicial and administrative remedies have been exhausted, or have lapsed, and that is not being paid in a timely manner pursuant to an agreement with the authority responsible for collecting the tax liability. (USDOT Order 4200.6 implementing appropriations act requirements)",32,
Critical,Legal,Yes,"The prospective participant certifies, by signing and submitting this bid or proposal, to the best of his or her knowledge and belief, that: a. No Federal appropriated funds have been paid or will be paid, by or on behalf of the undersigned, to any person for influencing or attempting to influence an officer or employee of any Federal agency, a Member of Congress, an officer or employee of Congress, or an employee of a Member of Congress in connection with the awarding of any Federal contract, the making of any Federal grant, the making of any Federal loan, the entering into of any cooperative agreement, and the extension, continuation, renewal, amendment, or modification of any Federal contract, grant, loan, or cooperative agreement. b. If any funds other than Federal appropriated funds have been paid or will be paid to any person for influencing or attempting to influence an officer or employee of any Federal agency, a Member of Congress, an officer or employee of Congress, or an employee of a Member of Congress in connection with this Federal contract, grant, loan, or cooperative agreement, the undersigned shall complete and submit Standard Form-LLL, ""Disclosure Form to Report Lobbying,"" in accordance with its instructions.",32,
Critical,Legal,Yes,"The prospective participant also agrees by submitting its bid or proposal that the participant shall require that the language of this certification be included in all lower tier subcontracts, which exceed $100,000 and that all such recipients shall certify and disclose accordingly.",33,
Critical,Legal,Yes,"Whenever the Contractor, or any Subcontractor at any tier, subcontracts a portion of the work involving any construction trade, it shall physically include in each subcontract in excess of $10,000.00 the provisions of these specifications and the notice which contains the applicable goals for minority and female participation and which is set forth in the solicitations from which this contract resulted.",1,
Critical,Compliance,Yes,"Each Contractor or subcontract participating in an approved Plan is individually required to comply with its obligations under the EEO clause, and to make a good faith effort to achieve each goal under the Plan in each trade in which it has employees.",1,
Critical,Compliance,Yes,The Contractor shall implement the specific affirmative action standards provided in Paragraphs 7a through p of these specifications.,1,
Critical,Compliance,Yes,The Contractor shall take specific affirmative actions to ensure equal employment opportunity .,2,
Critical,Compliance,Yes,"The Contractor shall document these efforts fully and shall implement affirmative action steps at least as extensive as the following: a. Ensure and maintain a working environment free of harassment, intimidation and coercion at all sites, and in all facilities at which the Contractor's employees are assigned to work. b. Establish and maintain a current list of minority and female recruitment sources, provide written notification to minority and female recruitment sources and to community organizations when the Contractor or its unions have employment opportunities available and maintain a record of the organizations' responses. c. Maintain a current file of the names, addresses and telephone numbers of each minority and female off-the-street applicant and minority or female referral from a union, a recruitment source or community organization and of what action was taken with respect to each such individual. d. Provide immediate written notifications to the Regional Director when the union or unions, with which the Contractor has a collective bargaining agreement, have not referred to the Contractor a minority person or woman sent by the Contractor or when the Contractor has other information that the union referral process has impeded the Contractor's efforts to meet its obligations. e. Develop on-the-job training opportunities and/or participate in training programs for the area which expressly include minorities and women, including upgrading programs and apprenticeship and trainee programs relevant to the Contractor's employment needs, especially those programs funded or approved by the Department of Labor. f. Disseminate the Contractor's EEO policy by providing notice of the policy to unions and training programs and requesting their cooperation in assisting the Contractor in meeting its EEO obligations; by including it in any policy manual and collective bargaining agreement; by publicizing it in the company newspaper, annual report, etc.; by specific review of the policy with all management personnel and with all minority and female employees at least once a year; and by posting the company EEO policy on bulletin boards accessible to all employees at each location where construction is performed. g. Review, at least annually, the company's EEO policy and affirmative action obligations under these specifications with all employees having any responsibility for hiring, assignment, layoff, termination or other employment decisions including specific review of these items with on-site supervisory personnel such as Superintendents, Supervisors etc., prior to the initiation of construction work at any job site. h. Disseminate the Contractor's EEO policy externally by including it in any advertising in the news media, and providing written notification to, and discussing the Contractor's EEO policy with, other Contractors and subcontractors with whom the Contractor anticipates doing business. i. Direct its recruitment efforts, both oral and written, to minority, female and community organizations, to schools with minority and female students and to minority and female recruitment and training organizations serving the Contractor's recruitment area and employment needs. j. Encourage present minority and female employees to recruit other minority persons and women and, where reasonable, provide after school, summer and vacation employment to minority and female youth both on the site and in other areas of a Contractor's workforce. k. Validate all tests and other selection requirements where there is an obligation to do so under 41 CFR Part 60-3. l. Conduct, at least annually, an inventory and evaluation of all minority and female personnel for promotional opportunities and encourage these employees to seek or to prepare for, through appropriate training, etc., such opportunities. m. Ensure that seniority practices, job classifications, work assignments and other personnel practices, do not have a discriminatory effect by continually monitoring all personnel and employment-related activities to ensure that the EEO policy and Contractor's obligations under these specifications are being carried out. n. Ensure that all facilities and company activities are non-segregated except that separate or single-user toilet and necessary changing facilities shall be provided to assure privacy between the sexes. o. Document and maintain a record of all solicitations of offers for subcontracts from minority and female construction contractors and suppliers, including circulation of solicitations to minority and female contractor associations and other business associations. p. Conduct a review, at least annually, of all supervisors' adherence to and performance under the Contractor's EEO policies and affirmative action obligations.",2,
Critical,Legal,Yes,"The Contractor shall not use the goals and timetables or affirmative action standards to discriminate against any person because of race, color, religion, sex or national origin.",4,
Critical,Legal,Yes,The Contractor shall not enter into any subcontract with any person for firm debarred from Government contracts pursuant to Executive Order 11246.,4,
Critical,Legal,Yes,"The Contractor shall carry out such sanctions and penalties for violation of these specifications and of the Equal Opportunity Clause, including suspension, terminations and cancellation of existing subcontracts as may be imposed or ordered pursuant to Executive Order 11246, as amended, and its implementing regulations, by the Office of Federal Contract Compliance Programs.",5,
Critical,Compliance,Yes,"The Contractor, in fulfilling its obligations under these specifications, shall implement specific affirmative action steps, at least as extensive as those standards prescribed in Paragraph 7 of these specifications, so as to achieve maximum results from its efforts to ensure equal employment opportunity.",5,
Critical,Management,Yes,"The Contractor shall designate a responsible official to monitor all employment-related activity to ensure that the company EEO policy is being carried out, to submit reports relating to the provisions hereof as may be required by the Government and to keep records.",5,
Critical,Compliance,Yes,"Records shall at least include for each employee the name, address, telephone numbers, construction trade union affiliation if any, employee identification number when assigned, social security number, race, sex, status (e.g., mechanic, apprentice, trainee, helper or laborer), dates of changes in status, hours worked per week in the indicated trade, rate of pay, and locations at which the work was performed.",5,
Critical,Compliance,Yes,"The Contractor's compliance with the Executive Order and the regulation in CFR Part 604 shall be based on its implementation of the Equal Opportunity Clause, specific affirmative action obligations required by the specifications set forth in 41 CFR 60-4.3 (a), and its efforts to meet the goals.",6,
Critical,Financial,Yes,"For any work, a prime contractor must at minimum have and maintain throughout the life of the contract insurance coverage in types and amounts meeting or exceeding the State’s standard insurance requirements specified in the State’s Attachment C in effect at inception of the contract.",3,
Critical,Financial,Yes,"Certain types and settings of work require additional types and amounts of insurance coverage, beyond Attachment C requirements, as specified at Sections 2.e. and 3 below, which the Contractor must obtain and maintain throughout the life of the contract.",3,
Critical,Financial,Yes,"Subcontractors are required to have insurance coverage in types and amounts meeting or exceeding the prime contractor’s insurance obligations to the State, including any additional types and amounts of insurance coverage for certain types and settings of work as specified at Sections 2.e and 3 below.",3,
Critical,Management,Yes,"As to subcontractors, a prime contractor is obligated, for each of its subcontractors, to verify and maintain evidence of verification that each subcontractor carries all VTrans-required insurances.",3,
Critical,Management,Yes,Subcontractors must do the same for their sub-subcontractors.,3,
Critical,Compliance,Yes,"for total project costs over $250,000, all contractors and subcontractors must have, when applicable: A payroll process by which during every pay period the contractor collects from the subcontractors or independent contractors a list of all workers who were on the jobsite during the pay period, the work performed by those workers on the jobsite, and a daily census of the jobsite.",3,
Critical,Compliance,Yes,"This information, including confirmation that contractors, subcontractors, and independent contractors have the appropriate workers’ compensation coverage for all workers at the job site, and the same information for the subcontractors regarding their subcontractors shall also be provided to the Department of Labor and to the [Department of Financial Regulation], upon request, and shall be available to the public.",4,
Critical,Compliance,Yes,"Contractors and subcontractors must preserve and retain the above discussed documentation seven (7) years, per section JJ of this document.",4,
Critical,Legal,Yes,"Where the subject matter of the contract gives rise to specific insurance obligations under the Federal Motor Carrier Safety Act (“FMCSA”) https://www.fmcsa.dot.gov, which applies to both certain transport of passengers and certain materials of environmental concern, contractors and subcontractors must comply with the FMCSA insurance requirements.",4,
Critical,Financial,Yes,"Where Contractor’s work under the contract provides in whole or part design/ engineering professional services for one or more specific projects, then before commencing work and throughout the term of this contract, contractor must provide Professional Liability insurance for all relevant services performed under this Agreement, with minimum coverage of no less than two million dollars ($2,000,000) per claim and two million dollars ($2,000,000) policy aggregate.",4,
Critical,Financial,Yes,"The required Professional Liability insurance coverage must be maintained continuously for five (5) years after the final acceptance of any construction that may be developed as a result of such design work, even if the construction is performed under a separate contract or project.",5,
Critical,Financial,Yes,"Separate from task or project-specific requirements to maintain coverage, if contractor for any reason ceases operations, the contractor shall be responsible to obtain and maintain professional liability coverage that extends for not less than five (5) years after such cessation of operations.",5,
Critical,Financial,Yes,"contractor shall carry Valuable Papers and Records Insurance in a form and amount sufficient to ensure the restoration or replacement of any plans, drawings, field notes, or other information or data relating to the work, whether supplied by the State or developed by the contractor, subcontractor, worker, or agent, in the event of loss, impairment, or destruction.",5,
Critical,Financial,Yes,"Such coverage shall remain in force until the final work product as well as all related materials have been delivered by the contractor to, and accepted by, the State.",5,
Critical,Financial,Yes,"Valuable Papers and Records Insurance shall provide coverage on an “individual occurrence” basis with limits in the amount of at least one hundred thousand dollars ($100,000).",5,
Critical,Financial,Yes,"When any portion of contractor’s or a subcontractor’s work under the contract involves work on, over, or under the right-of-way of any railroad, the contractor shall provide and file with the Agency, with respect to the operations that it or its subcontractor perform under the contract, Railroad Protective Liability Insurance for and on behalf of the railroad as named insured, with the State and its officers and employees specified as additional insured.",5,
Critical,Financial,Yes,"If Railroad Protective Liability insurance is required, the contractor shall obtain and submit the minimum coverage indicated above to the State prior to the commencement of rail-related work and activities, and shall maintain coverage until contractor notifies the State and the railroad that contractor has completed and ceased work on, over, or under the railroad right-of-way, and both State and railroad have concurred that contractor may terminate the railroad protective liability.",5,
Critical,Financial,Yes,"Railroad coverage limits must meet or exceed: i. Not less than two million dollars ($2,000,000) for all damages arising out of any one accident or occurrence, in connection with bodily injury or death and injury to or destruction of property; and ii. Subject to that limit per accident, a total (or aggregate) limit of six million dollars ($6,000,000) for all injuries to persons or property during the policy period.",5,
Critical,Financial,Yes,"For contracts determined by the State to fall within the category of “information technology activity” as defined in statute at 3 V.S.A. §3301(b)(2), additional types and amounts of insurance will typically be required, and may change over time, either as to general standards or with regard to the subject matter or potential risk exposure in a specific IT transaction.",6,
Critical,Financial,Yes,"As of the issuance of these General Terms and Conditions, the required IT insurance types include: Technology Professional Liability insurance with third-party coverage, and, if contractor has access to, processes, handles, collects, transmits, stores, or otherwise deals with State Data, Contractor shall maintain first party Breach Notification Coverage, which shall include the State of Vermont and its officers and employees as additional insureds.",6,
Critical,Financial,Yes,"If the contract requires the Contractor to provide content for publications and websites including images and text that may be trademarked or copyrighted, the insurance requirements shall include media liability coverage including the following: a. Infringement of copyright, title, slogan, trademark, trade name, trade dress, service mark, or service name b. Plagiarism c. Public disclosure or loss of misappropriated trade secrets or unauthorized use of titles, formats, performances of artists or other performers, style, charters, plots, or other program material d. Libel, trade libel, slander, disparagement of a person, organization, or product, or other forms of defamation e. Unauthorized disclosure of data, which results in an invasion of privacy or other invasion, infringement, or interference with the right of privacy or publicity f. Unfair competition including trademark dilution, deceptive trade practices, passing-off, and violations of Section 43(a) of the Lanham Act or similar statutes g. Breaches of contract that are implied in fact or in law, resulting from the alleged misuse of data h. False advertising or misrepresentation in advertising i. Errors and omissions and negligence in the production or publication of content",6,
Critical,Financial,Yes,"Media Liability limits are based on the Contract Maximum Amount. Coverage limits shall be as follows: a. Contracts in excess of $1,000,000.00 shall carry $5M per claim/$5M aggregate b. Contracts between $100,000.00 but under $1,000,000.00 shall carry $1M per claim/$1M aggregate c. Contracts under $100,000.00 shall carry $100k per claim/$300k aggregate",7,
Critical,Legal,Yes,"Except as specifically provided below, a prime contractor must act in an independent capacity and defend and indemnify the State in accordance with the State’s then-current Attachment C",7,
Critical,Legal,Yes,"Except as specifically provided below, the prime contractor must include requirements as to independence, defense, and indemnity, matching Attachment C and identical to those in the prime contractor’s contract with State, in the prime contractor’s contracts with subcontractors.",7,
Critical,Legal,Yes,Subcontractors must do the same for their sub-subcontractors.,7,
Critical,Legal,Yes,"As to subcontractors working under a prime contractor and where the subcontractors are providing such professional design services for a specific project, the prime contractor will include the same design-specific provisions as defined in Section B(2)(a) above in the prime contractor’s own contracts with subcontractors.",9,
Critical,Legal,Yes,Subcontractors must do the same for their sub-subcontractors.,9,
Critical,Legal,Yes,"The contractor shall observe and comply with all applicable federal, state, and municipal laws, bylaws, ordinances, and regulations in any manner affecting the conduct of the work and the action or operation of those engaged in the work, including all such orders or decrees as exist at present and those which may be enacted, adopted, or issued later, during the course of the work, by bodies or tribunals having any jurisdiction or authority over the work",9,
Critical,Legal,Yes,"The contractor shall comply with all applicable statutes, regulations, ordinances, specifications, manuals, standards, guidelines, policies, directives, and any other requirements related to the contract.",9,
Critical,Legal,Yes,"The contractor, by accepting and signing the contract, agrees to fully comply with the provisions of 9 V.S.A. §§ 4001-4009, also referred to as Act No. 74 of 1991 or the Prompt Payment Act, as amended.",9,
Critical,Financial,Yes,"In accordance with 9 V.S.A. Section 4003, notwithstanding any contrary contract provision, payments shall be made within seven days from receipt of a corresponding final or progress payment by the State to the contractor, or seven days after receipt of a subcontractor’s invoice, whichever is later.",9,
Critical,Financial,Yes,"On all federal-aid and state funded contracts, the contractor, during the life of the contract and on a monthly basis, shall submit electronically a listing of payments to subcontractors on the form specified by the State and made available at: http://apps.vtrans.vermont.gov/consultants/.",10,
Critical,Financial,Yes,Electronic reports shall be filed with VTrans Office of Civil Rights by an authorized representative and received in the VTrans Office of Civil Rights on or before the tenth working day after month end.,10,
Critical,Financial,Yes,"Manual reports shall be signed by an authorized representative, sent to the VTrans Office of Civil Rights, and postmarked on or before the tenth working day after month end.",10,
Critical,Financial,Yes,This section shall be included in the prime contractor’s contract made with all of its subcontractors.,10,
Critical,Operational,Yes,"After receipt of the Notice of Termination and except as otherwise directed by VTrans, the Contractor shall immediately proceed to: a. The extent specified in the Notice of Termination, cease work under the Contract on the date specified. b. Place no further orders or subcontracts for materials, services, or facilities except as may be necessary for completion of such portions of the work under the Contract that are not terminated. c. Terminate and cancel any orders or subcontracts related to the services, except as may be necessary for completion of such portions of the work under the Contract that are not terminated. d. Transfer to VTrans all completed or partially completed plans, drawings, information, and other property which, if the Contract had been completed, would be required to be furnished to VTrans. e. Take other actions as may be necessary or as directed by VTrans for the protection and preservation of the property related to the contract which is in the possession of the contractor and that VTrans has or may acquire any interest. f. Make available to VTrans all cost and other records relevant to a determination of an equitable settlement.",11,
Critical,Financial,Yes,"After receipt of the Notice of Termination from VTrans, the Contractor shall submit any claim for additional costs not covered herein or elsewhere in the Contract within sixty (60) days of the effective termination date.",11,
Critical,Legal,Yes,"All data, valuable papers, photographs, and any other documents produced under the terms of the contract shall become the property of the State of Vermont.",12,
Critical,Legal,Yes,The contractor shall not copyright any material originating under the contract without prior written approval of the State.,12,
Critical,Legal,Yes,"All studies, data sheets, survey notes, subsoil information, drawings, tracings, estimates, specifications, proposals, diagrams, calculations, photographs, and other material prepared or collected by the contractors (""instruments of professional service"") shall become the property of the State as they are prepared or developed during performance of the work under the contract.",12,
Critical,Legal,Yes,"The Contractor shall surrender to the State upon demand or submit for inspection at any time any instruments of professional service that have been collected, undertaken, or completed by the Contractor pursuant to the contract.",12,
Critical,Legal,Yes,"Upon completion of the work, these instruments of professional service will be appropriately endorsed by the Contractor and turned over to the State.",12,
Critical,Legal,Yes,Data and publication rights to any instruments of professional services produced under the contract are reserved to the State and shall not be copyrighted by the contractor at any time without written approval of the State.,12,
Critical,Legal,Yes,"Contractor employees performing services for the VTrans shall not have, directly or indirectly, a personal conflict of interest with respect to any contract with VTrans and must immediately disclose to VTrans any personal conflicts of interest arising at any time from the bidding process to final contract close-out.",13,
Critical,Legal,Yes,"The Contractor shall: 1. Have procedures in place to screen employees for potential personal conflicts of interest; 2. Prevent personal conflicts of interest, including not assigning or allowing an employee to perform any task under the contract for which the Contractor has identified a personal conflict of interest for the employee that the Contractor or employee cannot satisfactorily prevent or mitigate in consultation with the contracting agency; and 3. Prohibit use of non-public information accessed through performance of a Government contract for personal gain.",14,
Critical,Legal,Yes,Inform employees of their obligation: a. To disclose and prevent personal conflicts of interest; b. Not to use non-public information accessed through performance of a Government contract for personal gain; c. To avoid even the appearance of personal conflicts of interest;,15,
Critical,Management,Yes,Maintain effective oversight to verify compliance with personal conflict-of-interest safeguards;,15,
Critical,Management,Yes,Take appropriate disciplinary action in the case of covered employees who fail to comply with policies established pursuant to this clause;,15,
Critical,Legal,Yes,Report to VTrans any personal conflict-of-interest violation by an employee as soon as it is identified. This report shall include a description of the violation and the proposed actions to be taken by the Contractor in response to the violation.,15,
Critical,Legal,Yes,"In the case of contractors’ employees who perform acquisition functions for VTrans, screening procedures must include: a. Maintaining and obtaining from each employee, when the employee is initially assigned to the task under the contract, a disclosure of interests that might be affected by the task to which the employee has been assigned... b. Requiring each employee to update the disclosure statement whenever the employee’s personal or financial circumstances change in such a way that a new personal conflict of interest might occur because of the task the employee is performing.",15,
Critical,Management,Yes,"The Contractor shall: a. Comply, and require compliance by the employee, with any conditions imposed by the Government as necessary to mitigate the personal conflict of interest; or b. Remove the Contractor employee or subcontractor employee from performance of the contract or terminate the applicable subcontract.",16,
Critical,Legal,Yes,"The contractor must report fraud, conflicts of interest, bribery, and illegal gratuities in connection with the award or performance of a state contract.",16,
Critical,Legal,Yes,"The Contractor shall make an immediate and full disclosure, in writing, to the VTrans Project Manager of any potential or actual OCOI or the existence of any facts that may cause a reasonably prudent person to question the contractor's impartiality because of the appearance or existence of bias or an unfair competitive advantage.",17,
Critical,Legal,Yes,"Such disclosure shall include a description of the actions the contractor has taken or proposes to take in order to avoid, neutralize, or mitigate any resulting conflict of interest.",17,
Critical,Compliance,Yes,"Prior to submitting a proposal, each submitter or proposer will conduct an internal review of its current affiliations and will require its team members to identify potential, real, or perceived OCOIs relative to the anticipated procurement.",17,
Critical,Legal,Yes,"The Contractor shall require from its subcontractors full disclosure of any actual, apparent, or potential OCOI, and report such OCOIs to the VTrans Project Manager.",18,
Critical,Legal,Yes,"The Contractor shall identify and avoid, neutralize, or mitigate any subcontractor OCOI prior to award of the contract to the satisfaction of the VTrans Project Manager.",18,
Critical,Technical,Yes,The Contractor shall employ only qualified personnel to supervise and perform the work.,18,
Critical,Management,Yes,VTrans shall have the right to approve or disapprove personnel hired to perform or supervise work related to the contract.,18,
Critical,Management,Yes,"Upon VTrans’ request, the Contractor shall supply resumes for staff proposed to work on assignment or under primary contracts for VTrans’ review and acceptance or rejection.",18,
Critical,Management,Yes,"If contractor has submitted a list of key personnel to VTrans as part of a proposal, the Contractor must notify and seek approval if any changes to the proposed personnel occur during the performance period of the contract.",18,
Critical,Legal,Yes,"Contractors are required to obtain VTrans approval prior to making offers of employment to VTrans employees who are engaged in acquisition functions as defined in paragraph I.3 a-h above, or an individual who was engaged in acquisition functions for VTrans within one year of the end of employment with VTrans.",19,
Critical,Legal,Yes,"The Contractor shall not assign, sublet, or transfer any interest in the work covered by the contract without the prior written consent of the State and appropriate federal agencies, if applicable.",19,
